hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,buy_pool_ETH,game_prefund_ETH,external_capital_ETH,spec_buy_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_buy_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens
13.75,0.5729166666666666,2026-09-16T16:42:33+00:00,6.610323079571727e-05,-0.30483955462613554,54767938.138504446,7797.927401818419,1164,1131264.4691147632,111.7189937774005,2390.689562102398,1563.0079740555582,0.0,46.88820919082013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.90371187596951,0.0,3.222127961109975,17.774093750989294,45.48156291509551,713822.9582764029,9.0,0.495,0.0,0.0
14.0,0.5833333333333334,2026-09-16T16:57:33+00:00,6.691425303466888e-05,-0.2963106132408041,55047115.17982051,7794.970270468444,1164,1138556.1357814292,111.7189937774005,2391.134907211191,1581.7878665751523,0.0,1.2315861583870173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.011478677980865,0.0,16.268106278411448,17.34106976271405,1.193688740618047,18633.835356955824,14.0,3.0788064393072405,0.0009498330173596514,14.962971584232648
14.25,0.59375,2026-09-16T17:12:33+00:00,6.766443003748711e-05,-0.2884215377279906,55300774.27749661,7782.29206261361,1164,1145847.8024480962,111.7189937774005,2391.582853123643,1599.0669862489635,0.0,1.890781391221708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.169901065032803,4.483527652977537,5.048857731428667,14.400433444689437,1.8297706967636147,28366.569490152626,16.0,0.677162438080782,0.0042872527214422,66.58994115884313
14.5,0.6041666666666666,2026-09-16T17:27:33+00:00,6.771091682526415e-05,-0.2879326693972588,55315770.51636721,7783.91276566208,1164,1153139.4691147632,111.7189937774005,2391.8082339681528,1600.1740307528707,0.0,4.022921812598497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.129966316505727,0.0,2.953128396887495,5.234659506638497,2.0457924897381683,31509.591998434724,9.0,0.0,1.8564416684823732,28596.453243018004
14.75,0.6145833333333334,2026-09-16T17:42:33+00:00,6.712107553638032e-05,-0.29413560877169764,55114133.97562292,7807.286019860476,1164,1160431.1357814292,111.7189937774005,2392.3864402138615,1586.7863891245313,0.0,16.890586100425026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5029444720855603,0.0,10.563818815764863,1.9248369529880205,15.711152806496468,242801.08621004972,14.0,1.649596181793163,0.6727157109158065,10445.557824041332
15.0,0.625,2026-09-16T17:57:33+00:00,6.704921082135247e-05,-0.2948913586299733,55089131.747868314,7814.435868248798,1164,1167722.8024480962,111.7189937774005,2392.542297685536,1585.1682711996455,0.0,3.747017828734215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.128899903848405,0.0,5.687587935111806,0.6823468406616378,3.5885523128421437,55735.88520827163,14.0,1.49,0.04605498103004493,716.0620074893214
15.25,0.6354166666666666,2026-09-16T18:12:33+00:00,6.8105441017366e-05,-0.28378374036926846,55443726.16867366,7796.098541643555,1164,1175014.4691147632,111.7189937774005,2393.2651550758783,1609.4636908824107,0.0,4.503883580584443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.799303263349927,4.688712392385762,6.68095046786557,24.69833175388967,4.112760902567906,63575.95239791874,16.0,0.0,0.25600617059900516,3927.536238446866
15.5,0.6458333333333334,2026-09-16T18:27:33+00:00,6.827040670903373e-05,-0.282048914063342,55497952.27245478,7795.346830472279,1164,1182306.1357814302,111.7189937774005,2393.518414121871,1613.26929079347,0.0,3.483438600248064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.289038511307426,0.0,3.307147785776723,7.432784392578375,3.2837866367343187,50093.88499141089,5.0,0.0050100067149164,0.09514880550630322,1450.169785330665
15.75,0.65625,2026-09-16T18:42:33+00:00,6.84816044271712e-05,-0.2798278985693171,55567314.15043923,7791.526322924021,1164,1189597.8024480972,111.7189937774005,2393.764591240855,1618.1192252520627,0.0,2.920139421700469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.770073880293087,0.0,1.2756040293187627,7.688169377043294,1.4247520374911304,21735.542993245082,10.0,0.240477439582305,1.407783201558325,21483.208177908095
16.0,0.6666666666666666,2026-09-16T18:57:33+00:00,6.92333925863646e-05,-0.27192187967612946,55813057.82170105,7780.239623258067,1164,1196889.4691147632,111.7189937774005,2394.1499566143552,1635.2258103390952,0.0,0.7191571718176419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.825742258849857,0.0,6.205250794575649,15.709532917193735,0.684337292612688,10377.648478211806,8.0,2.48,0.013245164050424592,200.5751389717267
